iter	MultiClass
0	2.305127882
1	2.129189407
2	1.983341684
3	1.872872096
4	1.787774913
5	1.713081733
6	1.646295203
7	1.582494583
8	1.528405485
9	1.481591437
10	1.441260167
11	1.400580436
12	1.36471783
13	1.332370845
14	1.296570961
15	1.268676648
16	1.231146821
17	1.205566533
18	1.180129093
19	1.157053771
20	1.139121707
21	1.113295018
22	1.093451962
23	1.073949176
24	1.051054301
25	1.035158167
26	1.01953071
27	1.002685399
28	0.9898678396
29	0.968274936
30	0.95437882
31	0.9414378703
32	0.9282920124
33	0.9145185343
34	0.9015871805
35	0.8898306073
36	0.8770059711
37	0.8642077454
38	0.8547973108
39	0.8432306724
40	0.8261469381
41	0.8182499987
42	0.809278538
43	0.7981453121
44	0.7891247742
45	0.7803017513
46	0.7692006029
47	0.7626922362
48	0.7571749718
49	0.7496763447
50	0.7444207528
51	0.7376748706
52	0.7315865423
53	0.7258216356
54	0.7189318665
55	0.714558559
56	0.707775802
57	0.6999922922
58	0.6943556866
59	0.6894295965
60	0.6831757738
61	0.6778142615
62	0.6722391982
63	0.6664206347
64	0.6622512177
65	0.6596067576
66	0.6575320127
67	0.6548807141
68	0.6531686313
69	0.6482515344
70	0.6426277344
71	0.6375819027
72	0.6316553269
73	0.6263241914
74	0.6252106069
75	0.622333011
76	0.6161108988
77	0.6138986494
78	0.6064729751
79	0.6031351754
80	0.5971287828
81	0.5924308638
82	0.587529804
83	0.5845924701
84	0.5790687229
85	0.5740891458
86	0.5709461957
87	0.567542971
88	0.5650670299
89	0.5600298369
90	0.5574381939
91	0.5528513075
92	0.5491846176
93	0.5458193262
94	0.5436331328
95	0.5408204468
96	0.5387965107
97	0.5360379732
98	0.5340638218
99	0.532138858
100	0.5281931375
101	0.5234353133
102	0.5217806525
103	0.520471872
104	0.5175238525
105	0.5155532026
106	0.5125200427
107	0.5105363059
108	0.5080013792
109	0.5052800761
110	0.5031527682
111	0.501096186
112	0.4984067586
113	0.4957482296
114	0.493366412
115	0.4904280357
116	0.4881928812
117	0.4863926746
118	0.484806182
119	0.4830830379
120	0.4824542351
121	0.4804439223
122	0.4785522637
123	0.4771349002
124	0.4765978894
125	0.4745149389
126	0.4727224762
127	0.4704005126
128	0.4685130384
129	0.46771042
130	0.4662687219
131	0.4639047681
132	0.463710779
133	0.4596023192
